Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,PMEG60T10ELR,D_SOD-123,156.098,-118.965,0.0,top
J3,Data Harness Out,IDC-Header_2x06_P2.54mm_Vertical,114.6455,-97.615,0.0,top
J4,USB4085-GF-A,USB_C_Receptacle_GCT_USB4085,171.673,-101.84,90.0,top
JP1,Vcc-Select,PinHeader_1x03_P2.54mm_Vertical,150.598,-119.065,-90.0,top
P1,Power,Socket_Strip_Arduino_1x08,138.938,-123.825,0.0,top
P2,Analog,Socket_Strip_Arduino_1x06,161.798,-123.825,0.0,top
P3,Digital,Socket_Strip_Arduino_1x10,129.794,-75.565,0.0,top
P4,Digital,Socket_Strip_Arduino_1x08,156.718,-75.565,0.0,top
P5,CONN_01X01,Arduino_1pin,124.968,-123.825,0.0,top
P7,CONN_01X01,Arduino_1pin,126.238,-75.565,0.0,top
R1,5.1k,R_0603_1608Metric,168.498,-100.165,180.0,top
R2,5.1k,R_0603_1608Metric,168.498,-97.565,180.0,top
TP7,GND,TestPoint_Keystone_5005-5009_Compact,131.098,-123.065,180.0,top
U1,ESP32-D1-Mini,ESP32_mini,142.558,-97.465,90.0,top
